FAC_NAME,COUNTY_NAME,YEAR_QTR,OP_STATUS,TYPE_HOSP,AVL_BEDS,DAY_TOT,VIS_TOT,GRIP_TOT,GROP_TOT,BAD_DEBT,CAP_TOT,NET_TOT,TOT_OP_EXP,EXP_PIPS,EXP_POPS,CAP_EXP,YEAR,QUARTER,POPULATION
DOMINICAN HOSPITAL,Santa Cruz,20203,Open,Comparable,222,11853,35600,334714348,168683367,2926243,0,114800109,108656123,0,0,3904369,2020,3,265851
EAST LOS ANGELES DOCTOR'S HOSPITAL,Los Angeles,20203,Open,Comparable,127,3151,3114,70379815,15136636,-29597,1641609,13924125,14313550,0,0,901268,2020,3,9748447
EASTERN PLUMAS HEALTH CARE,Plumas,20203,Open,Comparable,75,5151,10403,2719266,7413610,226341,0,6850807,7043452,0,0,307088,2020,3,19433
EDEN MEDICAL CENTER,Alameda,20203,Open,Comparable,130,9322,9062,210195840,96801127,3881246,0,89463675,86498314,0,0,187051,2020,3,1635693
EISENHOWER MEDICAL CENTER,Riverside,20203,Open,Comparable,345,16198,202781,470242568,449365203,5592443,0,188988336,213530628,0,0,13951563,2020,3,2479628
EL CAMINO HEALTH,Santa Clara,20203,Open,Comparable,454,21755,50221,535835170,468972923,9018600,0,253185105,233811173,0,0,4997779,2020,3,1883653
EL CENTRO REGIONAL MEDICAL CENTER,Imperial,20203,Open,Comparable,161,6346,56365,68317030,102414202,2592721,0,38194213,47460109,0,0,3779076,2020,3,179767
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,20203,Open,Comparable,105,6658,13134,55736257,33430471,660058,0,24482526,25642276,0,0,747985,2020,3,9748447
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,Los Angeles,20203,Open,Comparable,516,26480,40505,221987111,87530955,2419303,5743000,114807767,122153021,3847810,1895190,5875681,2020,3,9748447
EMANUEL MEDICAL CENTER,Stanislaus,20203,Open,Comparable,209,8882,25159,296148565,357950455,7096151,0,68936118,68316762,0,0,48188,2020,3,552410
ENCINO HOSPITAL MEDICAL CENTER,Los Angeles,20203,Open,Comparable,148,5103,2684,42721376,8778782,2962910,0,12766350,12989921,0,0,676977,2020,3,9748447
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,Kern,20203,Open,Comparable,86,5561,0,15754111,0,147939,0,10180973,7517428,0,0,150105,2020,3,917293
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MODESTO,Stanislaus,20203,Open,Comparable,50,2642,0,7306703,0,208625,0,4434468,4760874,0,0,22197,2020,3,552410
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIETA,Riverside,20203,Open,Comparable,50,1181,0,3496035,0,24912,0,2485958,3709082,0,0,15627,2020,3,2479628
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,Orange,20203,Open,Comparable,48,3386,0,9703879,0,89115,0,5899359,5916916,0,0,17618,2020,3,3158489
ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,Butte,20203,Open,Comparable,317,20738,103452,504605726,410575382,8783061,0,175922539,175424600,0,0,4223234,2020,3,207384
FAIRCHILD MEDICAL CENTER,Siskiyou,20203,Open,Comparable,25,1049,18851,16216270,41797832,1296088,0,28943360,21912134,0,0,0,2020,3,43746
FOOTHILL REGIONAL MEDICAL CENTER,Orange,20203,Open,Comparable,127,5686,1579,79877344,11952553,239884,24098310,46627933,38239629,0,0,20271,2020,3,3158489
FOUNTAIN VALLEY REGIONAL HOSPITAL AND MC - EUCLID,Orange,20203,Open,Comparable,344,18855,11876,497484254,189311057,5053945,19864228,81830099,95831148,0,0,833266,2020,3,3158489
FREMONT HOSPITAL,Alameda,20203,Open,Comparable,148,10850,1593,26040000,903240,-37895,0,15529165,10848240,0,0,61905,2020,3,1635693
FRENCH HOSPITAL MEDICAL CENTER - SAN LUIS OBISPO,San Luis Obispo,20203,Open,Comparable,72,4765,26397,120867892,96832667,-130971,5187136,47387704,48250653,0,0,1964467,2020,3,282535
FRESNO SURGICAL HOSPITAL,Fresno,20203,Open,Comparable,27,727,4663,22350480,59236957,184133,0,21223565,20385809,0,0,218131,2020,3,1017107
GARDEN GROVE HOSPITAL AND MEDICAL CENTER,Orange,20203,Open,Comparable,167,4484,5621,63392101,19803727,1829567,0,20412688,20472733,0,0,279272,2020,3,3158489
GARFIELD MEDICAL CENTER,Los Angeles,20203,Open,Comparable,210,10180,6538,260789742,101388491,1060689,35067748,74793778,74346728,0,0,21455,2020,3,9748447
GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,Los Angeles,20203,Open,Comparable,55,3077,20001,4361810,5189411,0,0,7589477,7879740,0,0,4901,2020,3,9748447
GEORGE L. MEE MEMORIAL HOSPITAL,Monterey,20203,Open,Comparable,73,3583,24540,8851756,32944652,3916393,0,9791174,14987379,0,0,127569,2020,3,436427
GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,Los Angeles,20203,Open,Comparable,227,10092,14244,166732111,71234971,1503273,3033541,52628214,62972799,0,0,1943104,2020,3,9748447
GLENDORA OAKS BEHAVIORAL HEALTH HOSPITAL,Los Angeles,20203,Open,Comparable,21,1629,0,5394716,0,32809,0,1416146,2819738,0,0,2973852,2020,3,9748447
GOLETA VALLEY COTTAGE HOSPITAL,Santa Barbara,20203,Open,Comparable,28,769,11424,32169031,34390090,247237,0,23299749,21285945,0,0,1314838,2020,3,445286
GOOD SAMARITAN HOSPITAL - BAKERSFIELD,Kern,20203,Open,Comparable,64,3416,6756,13625789,5486938,141356,0,6768282,9082225,0,0,76723,2020,3,917293
GOOD SAMARITAN HOSPITAL - LA,Los Angeles,20203,Open,Comparable,333,18334,16226,369620560,124179876,2172722,8399042,96064142,107033510,0,0,169376994,2020,3,9748447
GOOD SAMARITAN HOSPITAL - SAN JOSE,Santa Clara,20203,Open,Comparable,358,19855,27957,812683779,417670545,0,0,149870758,122373629,0,0,2229569,2020,3,1883653
GREATER EL MONTE COMMUNITY HOSPITAL,Los Angeles,20203,Open,Comparable,117,4003,4060,52155226,20177236,815514,1663996,14532322,15578409,0,0,43019,2020,3,9748447
HAZEL HAWKINS MEMORIAL HOSPITAL,San Benito,20203,Open,Comparable,142,7735,44538,23958293,55593728,850535,0,29757850,32655430,0,0,250572,2020,3,67715
HEALDSBURG DISTRICT HOSPITAL,Sonoma,20203,Open,Comparable,38,2220,9797,11656133,17468108,416477,187481,9269847,13635544,0,0,828865,2020,3,483398
HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE,Orange,20203,Open,Comparable,27,2194,95,12818355,46314,77290,0,3112069,2312556,0,0,0,2020,3,3158489
HEMET GLOBAL MEDICAL CENTER,Riverside,20203,Open,Comparable,309,15314,14241,134937652,63840118,35002,0,43151809,39142197,0,0,889716,2020,3,2479628
HENRY MAYO NEWHALL HOSPITAL,Los Angeles,20203,Open,Comparable,291,13176,28336,242122460,187206856,3063945,0,91508829,85031733,0,0,1653563,2020,3,9748447
HERITAGE OAKS HOSPITAL,Sacramento,20203,Open,Comparable,120,10844,3892,17352270,2346342,169948,0,11784477,8966281,0,0,184739,2020,3,1588743
HI-DESERT MEDICAL CENTER,San Bernardino,20203,Open,Comparable,175,9986,11333,39860678,46242743,726649,0,17472411,19320303,0,0,5666767,2020,3,2196029
HIGHLAND HOSPITAL,Alameda,20203,Open,Comparable,438,33627,57208,421297948,189382035,21571822,10338503,180446192,243520658,0,0,3744594,2020,3,1635693
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Orange,20203,Open,Comparable,517,32093,126106,474664467,452478129,11150239,18808877,290607029,285666277,0,0,5587216,2020,3,3158489
HOAG ORTHOPEDIC INSTITUTE,Orange,20203,Open,Comparable,70,1181,884,68698822,51956399,264784,0,34895898,23752023,0,0,515953,2020,3,3158489
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Los Angeles,20203,Open,Comparable,413,25162,13704,292695777,90502905,-204462,23772205,102813318,100765216,0,0,27803163,2020,3,9748447
HUNTINGTON BEACH HOSPITAL,Orange,20203,Open,Comparable,131,5471,4096,38460916,12820984,859197,0,12853110,14893624,0,0,68265,2020,3,3158489
HUNTINGTON MEMORIAL HOSPITAL,Los Angeles,20203,Open,Comparable,573,27599,33882,633284714,199245427,11856786,0,144828943,166883847,0,0,22316419,2020,3,9748447
JEROLD PHELPS COMMUNITY HOSPITAL,Humboldt,20203,Open,Comparable,17,910,3424,1079295,3355935,0,0,1862238,3070951,0,0,22792,2020,3,135013
JOHN C. FREMONT HEALTHCARE DISTRICT,Mariposa,20203,Open,Comparable,33,2118,10229,3814364,8088329,180570,0,5476431,6455601,0,0,36124,2020,3,17095
JOHN F. KENNEDY MEMORIAL HOSPITAL,Riverside,20203,Open,Comparable,145,6326,10494,213027652,106374763,1075032,0,32653288,38046484,0,0,251621,2020,3,2479628
JOHN MUIR BEHAVIORAL HEALTH CENTER,Contra Costa,20203,Open,Comparable,51,4534,1544,17376472,4895847,372061,0,10188202,11251872,0,0,67468,2020,3,1160296
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,Contra Costa,20203,Open,Comparable,215,12380,20367,510362497,249361160,10224497,0,112654761,119956878,0,0,4433482,2020,3,1160296
JOHN MUIR MEDICAL CENTER - WALNUT CREEK,Contra Costa,20203,Open,Comparable,399,22713,64090,793482775,321010996,9652094,0,239766622,220166572,0,0,5804318,2020,3,1160296
KAWEAH DELTA MEDICAL CENTER,Tulare,20203,Open,Comparable,576,37934,166778,318798825,265128062,7425070,13196840,158262122,182942543,0,0,10075341,2020,3,478288
KECK HOSPITAL OF USC,Los Angeles,20203,Open,Comparable,350,18933,89187,599418597,429418535,1874424,0,279395335,304149851,0,0,4541057,2020,3,9748447
KEDREN COMMUNITY MENTAL HEALTH CENTER,Los Angeles,20203,Open,Comparable,72,4590,23874,4553273,4405262,0,0,8958535,9828026,0,0,182494,2020,3,9748447
KENTFIELD HOSPITAL,Marin,20203,Open,Comparable,100,8105,2090,44628023,946769,0,0,19961137,16240802,0,0,477135,2020,3,257143
KERN MEDICAL CENTER,Kern,20203,Open,Comparable,204,13371,59925,142847665,115754179,25837943,0,76628138,110023938,0,0,2200555,2020,3,917293
KERN VALLEY HOSPITAL DISTRICT,Kern,20203,Open,Comparable,99,5370,7432,10213745,19092632,755326,0,6984370,7087489,0,0,131649,2020,3,917293
KINDRED HOSPITAL - BALDWIN PARK,Los Angeles,20203,Open,Comparable,91,7323,0,73989886,0,119070,0,14817556,11102705,0,0,560837,2020,3,9748447
KINDRED HOSPITAL - BREA,Orange,20203,Open,Comparable,86,6554,0,34900121,0,0,0,11147192,8323789,0,0,0,2020,3,3158489
KINDRED HOSPITAL - LA MIRADA,Los Angeles,20203,Open,Comparable,248,13063,0,127490449,0,323971,0,27295203,22946737,0,0,1119028,2020,3,9748447
KINDRED HOSPITAL - LOS ANGELES,Los Angeles,20203,Open,Comparable,81,6792,0,80417507,0,0,0,12823298,11538392,0,0,17180,2020,3,9748447
KINDRED HOSPITAL - ONTARIO,San Bernardino,20203,Open,Comparable,91,6978,0,81111581,0,-265041,0,14655979,11469995,0,0,856688,2020,3,2196029
KINDRED HOSPITAL - PARAMOUNT,Los Angeles,20203,Open,Comparable,177,7478,0,68405926,0,418403,0,15687434,16530038,0,0,46213,2020,3,9748447
KINDRED HOSPITAL - RANCHO,San Bernardino,20203,Open,Comparable,55,4858,78,56873335,926867,-242847,0,11494447,11074193,0,0,49936,2020,3,2196029
KINDRED HOSPITAL - RIVERSIDE,Riverside,20203,Open,Comparable,40,3537,0,38727230,0,254323,0,6314080,7459124,0,0,344592,2020,3,2479628
KINDRED HOSPITAL - SAN DIEGO,San Diego,20203,Open,Comparable,70,4570,0,32267373,0,1042500,0,9024540,9457099,0,0,104711,2020,3,3283755
KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Alameda,20203,Open,Comparable,99,6175,0,58187460,0,8794,0,13282045,12542182,0,0,332707,2020,3,1635693
KINDRED HOSPITAL - SOUTH BAY,Los Angeles,20203,Open,Comparable,59,4894,0,52202117,0,685467,0,9744375,8290298,0,0,184754,2020,3,9748447
KINDRED HOSPITAL - WESTMINSTER,Orange,20203,Open,Comparable,109,7650,0,102980569,0,924495,0,14046159,16870942,0,0,484857,2020,3,3158489
L.A. DOWNTOWN MEDICAL CENTER,Los Angeles,20203,Open,Comparable,211,99661,4152,60142957,10752794,-1512334,0,16133364,21244939,0,0,598241,2020,3,9748447
LA PALMA INTERCOMMUNITY HOSPITAL,Orange,20203,Open,Comparable,140,3268,2863,35102025,11027755,935256,0,11761964,12823616,0,0,2000372,2020,3,3158489
LAC/HARBOR - UCLA MEDICAL CENTER,Los Angeles,20203,Open,Comparable,409,22125,46848,281183835,136468832,201559,22095680,202945774,273568713,0,0,31830,2020,3,9748447
LAC/OLIVE VIEW - UCLA MEDICAL CENTER,Los Angeles,20203,Open,Comparable,304,16877,33373,186464048,98845650,57494,14791242,123557134,168998133,0,0,28017,2020,3,9748447
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,Los Angeles,20203,Open,Comparable,125,10896,4477,135118410,12624435,24304,2998949,55941972,88826857,0,0,1964,2020,3,9748447
LAC/USC MEDICAL CENTER,Los Angeles,20203,Open,Comparable,664,45505,63941,601376124,198982350,595084,35047994,318780786,458543503,0,0,212040,2020,3,9748447
LAGUNA TREATMENT HOSPITAL,Orange,20203,Open,Comparable,93,4207,0,3212825,0,0,0,3212825,3018379,0,0,0,2020,3,3158489
LAKEWOOD REGIONAL MEDICAL CENTER,Los Angeles,20203,Open,Comparable,172,9954,10870,294798674,143596261,2017719,0,58595718,55489200,0,0,418701,2020,3,9748447
LANGLEY PORTER PSYCHIATRIC INSTITUTE,San Francisco,20203,Open,Comparable,23,1556,17034,7138692,13670497,96427,0,8567200,12596338,0,0,2639074,2020,3,814176
LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,San Bernardino,20203,Open,Comparable,89,5822,9629,14162641,9063408,188686,0,8075608,11220191,0,0,443785,2020,3,2196029
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,San Bernardino,20203,Open,Comparable,343,20679,27690,454619882,129573874,8704732,0,98813086,113743225,0,0,3985459,2020,3,2196029
LOMA LINDA UNIVERSITY MEDICAL CENTER,San Bernardino,20203,Open,Comparable,533,34602,175148,1019037216,664461793,23717385,6958589,250512383,335853297,0,0,113153186,2020,3,2196029
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,Riverside,20203,Open,Comparable,111,11316,16597,193140280,118805716,4628447,0,47774932,63000516,0,0,0,2020,3,2479628
LOMPOC VALLEY MEDICAL CENTER,Santa Barbara,20203,Open,Comparable,170,9817,19897,20785027,35425999,257466,141705,26199451,27925005,0,0,145827,2020,3,445286
LOS ALAMITOS MEDICAL CENTER,Orange,20203,Open,Comparable,162,9533,18388,295608680,163871396,3334389,0,54611147,55634717,0,0,1800239,2020,3,3158489
LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,20203,Open,Comparable,324,14963,2488,134586401,12994113,867145,0,25043501,37749236,0,0,244166,2020,3,9748447
LOS ROBLES HOSPITAL AND MEDICAL CENTER,Ventura,20203,Open,Comparable,333,19696,21686,644276730,232324057,-245323,0,128101319,86212174,0,0,5751407,2020,3,835032
LUCILE SALTER PACKARD CHILDREN'S HOSPITAL AT STANFORD,Santa Clara,20203,Open,Comparable,397,24259,122961,1296569365,365495422,0,0,475035583,502385765,0,0,11843395,2020,3,1883653
MAD RIVER COMMUNITY HOSPITAL,Humboldt,20203,Open,Comparable,46,1440,20579,14051405,29293559,845136,0,13372871,12523943,0,0,249426,2020,3,135013
MADERA COMMUNITY HOSPITAL,Madera,20203,Open,Comparable,106,5001,30138,31040842,25241955,1018582,0,23537612,25641389,0,0,1087945,2020,3,160414
MAMMOTH HOSPITAL,Mono,20203,Open,Comparable,17,397,13178,12168249,22858196,1147117,0,18579679,18346506,0,0,258577,2020,3,13055
MARIAN MEDICAL CENTER,Santa Barbara,20203,Open,Comparable,353,23659,168355,364166750,289344511,3152224,17186262,157884037,162039667,0,0,1627077,2020,3,445286
MARIN GENERAL HOSPITAL,Marin,20203,Open,Comparable,176,9292,31652,279183170,290549299,2330269,11744986,114512513,111044730,0,0,14377789,2020,3,257143
MARK TWAIN MEDICAL CENTER,Calaveras,20203,Open,Comparable,25,821,19017,16438424,32687708,265541,0,18268355,18883929,0,0,388003,2020,3,46544
MARSHALL MEDICAL CENTER,El Dorado,20203,Open,Comparable,117,4640,83474,137260354,191170656,1056745,1015,75005742,68920373,0,0,2638071,2020,3,193071
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",Los Angeles,20203,Open,Comparable,126,10256,18984,370407697,289009974,-464885,0,80913059,79105050,0,0,1638132,2020,3,9748447
MAYERS MEMORIAL HOSPITAL,Shasta,20203,Open,Comparable,115,7821,3303,4769145,5506869,242950,0,6562348,7474916,0,0,1883628,2020,3,180972
MEMORIAL HOSPITAL LOS BANOS,Merced,20203,Open,Comparable,40,1231,11381,23443544,45238430,1632460,0,23782910,17866556,0,0,593987,2020,3,292034
MEMORIAL HOSPITAL MODESTO,Stanislaus,20203,Open,Comparable,379,22752,21651,395956006,242331261,6813313,19421171,174275932,162105641,0,0,2687157,2020,3,552410
MEMORIAL HOSPITAL OF GARDENA,Los Angeles,20203,Open,Comparable,172,6506,7772,140904984,40427207,425888,5271327,31480623,29668255,0,0,938684,2020,3,9748447
MEMORIALCARE LONG BEACH MEDICAL CENTER,Los Angeles,20203,Open,Comparable,453,25598,53089,620088298,306964718,1060583,5198445,180073176,166983108,0,0,4701449,2020,3,9748447
MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH,Los Angeles,20203,Open,Comparable,357,14448,23187,270581476,38560984,-1765931,0,102494536,110827156,0,0,13593797,2020,3,9748447
MEMORIALCARE ORANGE COAST MEDICAL CENTER,Orange,20203,Open,Comparable,222,11015,25808,270887470,143356748,2676492,10718166,83605705,83294306,0,0,2066321,2020,3,3158489
MEMORIALCARE SADDLEBACK MEDICAL CENTER,Orange,20203,Open,Comparable,248,10206,58709,260516832,193411832,2364536,8120727,92199465,90485748,0,0,1689514,2020,3,3158489
MENIFEE GLOBAL MEDICAL CENTER,Riverside,20203,Open,Comparable,84,4308,4507,43867929,23284211,1168889,0,12161960,13548461,0,0,324109,2020,3,2479628
MERCY GENERAL HOSPITAL,Sacramento,20203,Open,Comparable,305,14884,25674,477890382,246523623,1511976,20713779,152245544,150774981,0,0,779926,2020,3,1588743
MERCY HOSPITAL - BAKERSFIELD,Kern,20203,Open,Comparable,226,12565,26699,230583607,144643244,3368326,12691092,96355533,94776936,0,0,2774109,2020,3,917293
MERCY HOSPITAL - FOLSOM,Sacramento,20203,Open,Comparable,99,6227,10840,150673486,111202220,2775602,6671013,63199753,53681741,0,0,17696789,2020,3,1588743
MERCY MEDICAL CENTER - MERCED,Merced,20203,Open,Comparable,186,10432,23832,218603684,154613515,1547132,0,88575193,82513436,0,0,1350087,2020,3,292034
MERCY MEDICAL CENTER - REDDING,Shasta,20203,Open,Comparable,260,15656,41958,319118262,243675106,2064253,76905,134153264,128420260,0,0,1939427,2020,3,180972
MERCY MEDICAL CENTER MT. SHASTA,Siskiyou,20203,Open,Comparable,25,752,19355,10173957,27594282,116932,70348,17123911,16113354,0,0,710385,2020,3,43746
MERCY SAN JUAN HOSPITAL,Sacramento,20203,Open,Comparable,370,21809,28803,554794012,249635030,6810508,20004770,183769555,182113105,0,0,7776898,2020,3,1588743
MERRITT PERALTA INSTITUTE CDRH,Alameda,20203,Open,Comparable,24,920,385,2940098,427354,0,0,2176956,800215,0,0,0,2020,3,1635693
METHODIST HOSPITAL - SACRAMENTO,Sacramento,20203,Open,Comparable,329,18608,16065,184963776,122716749,1025449,6235372,70705199,80554384,0,0,269600,2020,3,1588743
METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,Los Angeles,20203,Open,Comparable,224,17569,15490,315919495,92209082,1051595,0,68472632,71113739,0,0,2627630,2020,3,9748447
MILLS-PENINSULA MEDICAL CENTER,San Mateo,20203,Open,Comparable,317,13275,13971,224167871,207317689,3242559,18939071,164083581,152510653,0,0,2596525,2020,3,732485
MISSION COMMUNITY HOSPITAL - PANORAMA,Los Angeles,20203,Open,Comparable,145,9597,2267,117847605,19906573,5280576,1789437,30557453,36209311,0,0,299917,2020,3,9748447
MISSION HOSPITAL REGIONAL MEDICAL CENTER,Orange,20203,Open,Comparable,404,19189,104796,389033843,367835010,10832899,16174095,181438220,162127926,0,0,1290722,2020,3,3158489
MODOC MEDICAL CENTER,Modoc,20203,Open,Comparable,87,4429,9848,2974225,6548821,279494,51710,5910690,6827016,0,0,2053762,2020,3,8625
MONROVIA MEMORIAL HOSPITAL,Los Angeles,20203,Open,Comparable,49,1506,0,23154945,0,0,0,3560413,4070578,0,0,27530,2020,3,9748447
MONTCLAIR HOSPITAL MEDICAL CENTER,San Bernardino,20203,Open,Comparable,102,3076,5469,45108741,22946497,933884,0,16400949,13387966,0,0,360373,2020,3,2196029
MONTEREY PARK HOSPITAL,Los Angeles,20203,Open,Comparable,101,4023,5200,83183541,51612537,1049349,4136322,20201808,20608266,0,0,260,2020,3,9748447
MOTION PICTURE AND TELEVISION HOSPITAL,Los Angeles,20203,Open,Comparable,206,15574,0,7333557,0,0,0,6641240,18766766,0,0,182949,2020,3,9748447
MOUNTAINS COMMUNITY HOSPITAL,San Bernardino,20203,Open,Comparable,37,1932,8383,3100821,11445055,197000,0,4948834,6744855,0,0,702770,2020,3,2196029
NATIVIDAD MEDICAL CENTER,Monterey,20203,Open,Comparable,168,11635,30914,238613941,87604514,13085829,0,81559281,87734473,0,0,1654477,2020,3,436427
NEWPORT BAY HOSPITAL,Orange,20203,Open,Comparable,36,1965,0,2925665,0,0,0,2046713,2248626,0,0,0,2020,3,3158489
NORTHBAY MEDICAL CENTER,Solano,20203,Open,Comparable,204,10487,90859,539779758,483686496,325679,25522373,164670578,154815652,0,0,2270115,2020,3,449724
NORTHERN INYO HOSPITAL,Inyo,20203,Open,Comparable,25,1155,11676,8727276,33171768,1623543,0,24232548,20773845,0,0,509225,2020,3,18745
NORTHRIDGE HOSPITAL MEDICAL CENTER,Los Angeles,20203,Open,Comparable,394,15126,14157,440218598,154863938,9202895,0,98750274,105255597,0,0,1390593,2020,3,9748447
NOVATO COMMUNITY HOSPITAL,Marin,20203,Open,Comparable,47,1572,3264,29895208,33060118,817455,0,18876687,21388029,0,0,987853,2020,3,257143
OAK VALLEY HOSPITAL DISTRICT,Stanislaus,20203,Open,Comparable,144,9100,25028,13933799,29484517,916432,23364,17274783,18615089,0,0,145711,2020,3,552410
OJAI VALLEY COMMUNITY HOSPITAL,Ventura,20203,Open,Comparable,91,6111,6319,6404157,8336482,297960,91319,8948096,10358328,0,0,300934,2020,3,835032
OLYMPIA MEDICAL CENTER,Los Angeles,20203,Open,Comparable,204,5317,5421,88362548,34199475,1618972,0,14824702,16956082,0,0,1098703,2020,3,9748447
ORANGE COUNTY GLOBAL MEDICAL CENTER,Orange,20203,Open,Comparable,228,11857,7665,169174967,43572260,357020,0,44320648,53109949,0,0,1529122,2020,3,3158489
ORCHARD HOSPITAL,Butte,20203,Open,Comparable,106,6681,20235,2822031,16529925,642753,0,7384938,7719580,0,0,92167,2020,3,207384
OROVILLE HOSPITAL,Butte,20203,Open,Comparable,153,12159,188183,125217647,137040719,1411286,0,84916099,84280862,0,0,14827220,2020,3,207384
PACIFIC GROVE HOSPITAL,Riverside,20203,Open,Comparable,68,5450,975,12948825,679748,209171,0,5896952,3204090,0,0,480080,2020,3,2479628
PACIFICA HOSPITAL OF THE VALLEY,Los Angeles,20203,Open,Comparable,231,13132,2831,37481299,7187973,881981,90000,24204081,20786178,0,0,971778,2020,3,9748447
PALMDALE REGIONAL MEDICAL CENTER,Los Angeles,20203,Open,Comparable,125,10682,14105,238377860,188949635,3547614,0,53142459,49961775,0,0,147543,2020,3,9748447
PALO VERDE HOSPITAL,Riverside,20203,Open,Comparable,43,576,5397,3503616,11521151,1496100,0,3589310,5541272,0,0,159000,2020,3,2479628
PALOMAR HEALTH DOWNTOWN CAMPUS,San Diego,20203,Open,Comparable,359,20603,62703,541979328,303389361,20916994,23193751,169284049,131829629,0,0,5714697,2020,3,3283755
PARADISE VALLEY HOSPITAL,San Diego,20203,Open,Comparable,291,12642,8339,77374593,22425944,39513,0,39062492,36075392,0,0,1626893,2020,3,3283755
PATIENTS' HOSPITAL OF REDDING,Shasta,20203,Open,Comparable,10,63,344,1473096,3720250,0,0,1127669,1517772,0,0,0,2020,3,180972
PETALUMA VALLEY HOSPITAL,Sonoma,20203,Open,Comparable,59,2189,12869,41103360,64894831,937261,0,18895039,17643329,0,0,169366,2020,3,483398
PIH HOSPITAL - DOWNEY,Los Angeles,20203,Open,Comparable,156,8284,17630,173898683,95700511,1149425,0,42206443,45420476,0,0,1293986,2020,3,9748447
PIONEERS MEMORIAL HEALTHCARE DISTRICT,Imperial,20203,Open,Comparable,107,4890,41516,37198650,62973184,3073273,0,28330110,34928451,0,0,479910,2020,3,179767
PLACENTIA LINDA HOSPITAL,Orange,20203,Open,Comparable,94,2834,10201,103960978,133939546,1641625,0,23509719,24816768,0,0,2523653,2020,3,3158489
POMERADO HOSPITAL,San Diego,20203,Open,Comparable,236,14782,12060,108849162,96430418,2999905,9940179,43315880,45170840,0,0,1031563,2020,3,3283755
POMONA VALLEY HOSPITAL MEDICAL CENTER,Los Angeles,20203,Open,Comparable,372,22224,75867,782971600,395213141,7878304,12991519,148846810,147937274,0,0,8505941,2020,3,9748447
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,Los Angeles,20203,Open,Comparable,481,20840,114300,546552922,440802252,2143707,0,141732134,161945316,0,0,699250,2020,3,9748447
PROVIDENCE HOLY CROSS MEDICAL CENTER,Los Angeles,20203,Open,Comparable,377,23974,21162,467482858,181169774,3223020,4251871,130155064,136971546,0,0,11342941,2020,3,9748447
PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,Los Angeles,20203,Open,Comparable,324,17675,9891,128424484,50424889,842742,201552,42182631,52565528,0,0,2106082,2020,3,9748447
PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,Los Angeles,20203,Open,Comparable,418,20001,29421,297976475,160921646,1883954,448046,105168637,119655418,0,0,804844,2020,3,9748447
PROVIDENCE ST. JOHN'S HEALTH CENTER,Los Angeles,20203,Open,Comparable,234,10732,16221,188552437,121406816,730973,0,88731147,113923745,0,0,2696138,2020,3,9748447
PROVIDENCE ST. JOSEPH MEDICAL CENTER,Los Angeles,20203,Open,Comparable,307,16017,31430,368869800,184383444,1407057,358224,105522434,119996203,0,0,6898639,2020,3,9748447
PROVIDENCE TARZANA MEDICAL CENTER,Los Angeles,20203,Open,Comparable,249,8842,14226,178058310,90938204,1303166,446116,62306897,78358898,0,0,119047500,2020,3,9748447
QUEEN OF THE VALLEY MEDICAL CENTER,Napa,20203,Open,Comparable,148,5558,34810,139140892,201015368,2062890,7315626,68420346,62275961,0,0,853701,2020,3,134492
RADY CHILDREN'S HOSPITAL - SAN DIEGO,San Diego,20203,Open,Comparable,430,21032,66611,429431316,254325330,1265642,17685062,198674612,204075907,0,0,9914259,2020,3,3283755
REDLANDS COMMUNITY HOSPITAL,San Bernardino,20203,Open,Comparable,197,12288,42426,256531896,198860614,835928,38520441,104733201,87529180,1123261,5168682,4777961,2020,3,2196029
REDWOOD MEMORIAL HOSPITAL,Humboldt,20203,Open,Comparable,25,1136,12987,16531468,39943185,547344,0,12929631,9749568,0,0,109809,2020,3,135013
